kwhTotal,startTime,endTime,chargeTimeHrs,created_day,created_month,kwh_per_hour,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,startPeriod_Evening,startPeriod_Morning,startPeriod_Night,endPeriod_Evening,endPeriod_Morning,endPeriod_Night
1.73,16,16,0.578333333,5,8,2.991354468582913,0,0,0,0,0,1,0,0,0,0,0,0
3.97,11,12,1.311666667,6,8,3.026683607871237,0,0,0,1,0,0,0,1,0,0,0,0
4.77,14,17,3.406666667,6,8,1.400195694579237,0,0,0,1,0,0,0,0,0,0,0,0
3.79,15,17,2.088611111,1,8,1.81460300581538,0,0,0,0,0,0,0,0,0,0,0,0
6.56,17,21,3.940555556,4,8,1.664739884205302,1,0,0,0,0,0,0,0,0,1,0,0
5.07,16,20,3.983611111,5,9,1.2727145945547094,0,0,0,0,1,0,0,0,0,1,0,0
4.17,14,16,2.016388889,6,9,2.068053450774594,0,0,0,0,0,1,0,0,0,0,0,0
2.87,16,20,3.966666667,6,9,0.7235294117039051,0,0,0,0,0,1,0,0,0,1,0,0
10.01,16,19,3.018055556,2,9,3.3167050156183406,0,0,0,0,0,0,0,0,0,1,0,0
6.33,13,17,3.591944444,0,9,1.7622766996225847,0,0,0,0,1,0,0,0,0,0,0,0
1.3,17,20,3.461944444,0,9,0.37551151412989,0,0,0,0,1,0,0,0,0,1,0,0
4.16,17,20,3.081111111,1,9,1.3501622791687762,0,0,0,0,0,1,0,0,0,1,0,0
5.68,12,15,2.894444444,2,9,1.962380038689041,0,0,0,1,0,0,0,0,0,0,0,0
4.27,16,20,4.144166667,2,9,1.0303639653303547,0,0,0,1,0,0,0,0,0,1,0,0
6.31,12,16,3.543055556,3,9,1.7809486473657765,0,0,0,0,0,0,0,0,0,0,0,0
6.58,17,20,3.320833333,0,9,1.9814303640633808,1,0,0,0,0,0,0,0,0,1,0,0
2.27,17,17,0.527777778,4,9,4.301052629767978,0,0,0,1,0,0,0,0,0,0,0,0
6.35,16,19,2.434444444,5,9,2.6083979922607754,0,0,0,0,0,0,0,0,0,1,0,0
4.21,11,13,2.0,2,9,2.105,1,0,0,0,0,0,0,1,0,0,0,0
1.97,11,12,0.652222222,0,10,3.0204429311824335,0,0,0,1,0,0,0,1,0,0,0,0
3.43,12,13,1.426666667,0,10,2.404205606914905,0,0,0,1,0,0,0,0,0,0,0,0
6.27,17,19,2.291666667,0,10,2.7359999996020363,0,0,0,1,0,0,0,0,0,1,0,0
6.89,13,17,3.619722222,3,1,1.9034609777854936,0,0,0,1,0,0,0,0,0,0,0,0
6.28,14,17,2.4475,4,1,2.5658835546475998,0,0,0,0,0,1,0,0,0,0,0,0
2.76,18,23,4.057222222,4,1,0.68026838289362,0,0,0,0,0,1,1,0,0,1,0,0
4.1,18,1,5.694999999249999,3,1,0.7199297630447669,1,0,0,0,0,0,1,0,0,0,0,1
7.21,17,23,5.545,4,1,1.3002705139765556,0,0,0,0,1,0,0,0,0,1,0,0
7.02,20,22,2.406111111,5,1,2.917570999903836,0,0,0,0,0,1,1,0,0,1,0,0
8.38,14,17,3.414166667,5,2,2.4544788867508442,0,0,0,0,1,0,0,0,0,0,0,0
6.38,18,22,4.266388889,5,2,1.4954098573736465,0,0,0,0,1,0,1,0,0,1,0,0
7.52,14,17,2.507222222,6,2,2.99933525397734,0,0,0,0,0,1,0,0,0,0,0,0
6.22,14,16,2.394166667,2,2,2.597981203954336,0,0,0,0,0,0,0,0,0,0,0,0
7.9,14,17,3.575555556,0,2,2.209446861129963,0,0,0,0,1,0,0,0,0,0,0,0
10.55,19,23,3.900833333,2,2,2.70455030999398,0,0,0,1,0,0,1,0,0,1,0,0
7.97,14,17,2.901388889,0,2,2.7469602679656497,1,0,0,0,0,0,0,0,0,0,0,0
6.11,13,16,3.258055556,3,2,1.8753516921305686,0,0,0,0,0,1,0,0,0,0,0,0
3.11,17,22,5.142222222,3,2,0.6047968885308901,0,0,0,0,0,1,0,0,0,1,0,0
6.92,14,17,3.090555556,4,2,2.2390796329693936,0,0,0,1,0,0,0,0,0,0,0,0
9.31,17,23,5.278333333,4,2,1.76381433544451,0,0,0,1,0,0,0,0,0,1,0,0
7.89,17,23,5.3325,2,2,1.479606188466948,1,0,0,0,0,0,0,0,0,1,0,0
6.66,16,19,3.495833333,3,3,1.905125149168546,0,0,0,1,0,0,0,0,0,1,0,0
0.89,21,21,0.305,3,3,2.918032786885246,0,0,0,1,0,0,1,0,0,1,0,0
6.3,16,21,5.694999999249999,4,3,1.106233538337081,0,0,0,0,0,0,0,0,0,1,0,0
2.52,21,21,0.810277778,2,3,3.1100445654823328,0,0,0,0,1,0,1,0,0,1,0,0
0.629999999999999,17,17,0.040555556,2,3,15.534246405104124,1,0,0,0,0,0,0,0,0,0,0,0
5.54,18,21,2.731388889,4,3,2.0282721447359595,1,0,0,0,0,0,1,0,0,1,0,0
4.34,20,21,1.373333333,5,3,3.160194175524319,0,0,0,0,1,0,1,0,0,1,0,0
2.91,21,21,0.936388889,6,4,3.1076831796965076,0,0,0,0,0,1,1,0,0,1,0,0
6.21,17,20,3.309722222,0,4,1.876290390390351,0,0,0,1,0,0,0,0,0,1,0,0
5.16,13,15,2.709444444,5,4,1.9044494569455732,1,0,0,0,0,0,0,0,0,0,0,0
0.629999999999999,16,17,0.056666667,5,4,11.11764699342559,1,0,0,0,0,0,0,0,0,0,0,0
4.64,20,22,1.434722222,6,4,3.2340755087293824,0,0,0,0,1,0,1,0,0,1,0,0
5.47,17,20,2.24,5,4,2.4419642857142856,0,0,0,0,0,0,0,0,0,1,0,0
5.48,17,21,4.051388889,3,4,1.3526225573849127,1,0,0,0,0,0,0,0,0,1,0,0
5.42,15,18,2.312777778,5,4,2.343502281782993,0,0,0,0,1,0,0,0,0,1,0,0
6.58,17,21,4.7025,6,4,1.3992557150451888,0,0,0,0,0,1,0,0,0,1,0,0
5.62,19,22,2.935555556,0,4,1.9144587430863802,0,0,0,1,0,0,1,0,0,1,0,0
5.07,19,22,2.595833333,1,5,1.9531300163021679,0,0,0,0,0,0,1,0,0,1,0,0
4.6,13,16,2.603611111,5,5,1.7667769124833788,1,0,0,0,0,0,0,0,0,0,0,0
2.69,21,21,0.909722222,5,5,2.956946565607804,1,0,0,0,0,0,1,0,0,1,0,0
6.18,18,21,3.215555556,6,5,1.9219073943438967,0,0,0,0,1,0,1,0,0,1,0,0
6.65,17,21,4.683055556,2,5,1.4200130492750447,0,0,0,0,0,1,0,0,0,1,0,0
5.81,16,18,2.453888889,3,5,2.367670364393585,0,0,0,1,0,0,0,0,0,1,0,0
6.13,19,21,1.936388889,3,5,3.165686414966823,0,0,0,1,0,0,1,0,0,1,0,0
7.08,17,19,2.533611111,4,5,2.794430435381841,0,0,0,0,0,0,0,0,0,1,0,0
6.28,15,22,5.694999999249999,1,5,1.1027216858344235,1,0,0,0,0,0,0,0,0,1,0,0
6.51,16,21,4.811944444,2,5,1.352883449873845,0,0,0,0,1,0,0,0,0,1,0,0
6.54,17,21,4.633055556,4,5,1.4115954192542386,0,0,0,0,0,1,0,0,0,1,0,0
7.0,19,21,2.559722222,5,5,2.734671731110986,0,0,0,1,0,0,1,0,0,1,0,0
6.34,17,22,4.770277778,5,5,1.3290630640503553,0,0,0,0,0,1,0,0,0,1,0,0
7.7,17,21,4.715833333,1,5,1.632797314128489,0,0,0,0,0,0,0,0,0,1,0,0
6.37,15,21,5.694999999249999,5,6,1.1185250220963818,0,0,0,0,1,0,0,0,0,1,0,0
6.19,17,21,4.843888889,6,6,1.2778988415809636,0,0,0,0,0,1,0,0,0,1,0,0
2.71,13,15,2.830555556,1,6,0.9574092245797983,0,0,0,1,0,0,0,0,0,0,0,0
0.629999999999999,20,22,2.034166667,1,6,0.3097091355494122,0,0,0,1,0,0,1,0,0,1,0,0
7.13,19,22,2.717777778,6,6,2.6234668844952194,1,0,0,0,0,0,1,0,0,1,0,0
3.57,14,15,1.362222222,1,6,2.6207177818304594,0,0,0,0,0,1,0,0,0,0,0,0
1.72,18,21,3.228333333,1,6,0.5327826536430338,0,0,0,0,0,1,1,0,0,1,0,0
5.9,19,21,2.2925,2,6,2.57360959651036,0,0,0,1,0,0,1,0,0,1,0,0
3.8,14,15,1.211944444,4,6,3.135457255332737,0,0,0,0,0,0,0,0,0,0,0,0
6.46,19,21,2.484722222,4,6,2.5998882059340316,0,0,0,0,0,0,1,0,0,1,0,0
5.42,13,15,1.769444444,0,6,3.063108321020561,1,0,0,0,0,0,0,0,0,0,0,0
5.97,17,19,2.128888889,0,6,2.8042797493317178,1,0,0,0,0,0,0,0,0,1,0,0
7.55,17,21,4.105833333,2,6,1.8388471688117596,0,0,0,0,1,0,0,0,0,1,0,0
5.02,18,21,3.878611111,3,6,1.2942777340483929,0,0,0,0,0,1,1,0,0,1,0,0
4.06,19,21,1.894444444,4,6,2.1431085049016088,0,0,0,1,0,0,1,0,0,1,0,0
6.36,18,21,3.225277778,2,6,1.971923176162472,1,0,0,0,0,0,1,0,0,1,0,0
5.03,15,18,2.274166667,3,6,2.2117991935197074,0,0,0,0,1,0,0,0,0,1,0,0
5.23,16,21,5.021666667,5,6,1.041486890073582,0,0,0,0,0,1,0,0,0,1,0,0
5.26,13,17,3.684722222,0,6,1.4275160196865444,0,0,0,0,0,0,0,0,0,0,0,0
0.86,17,21,4.394444444,0,6,0.19570164350904692,0,0,0,0,0,0,0,0,0,1,0,0
6.78,17,21,4.247777778,4,6,1.5961286946588478,1,0,0,0,0,0,0,0,0,1,0,0
6.66,17,21,4.000277778,5,6,1.6648843829364692,0,0,0,0,1,0,0,0,0,1,0,0
6.63,18,21,3.31,6,7,2.003021148036254,0,0,0,0,0,1,1,0,0,1,0,0
7.35,16,22,5.597222222,5,7,1.313151364816403,1,0,0,0,0,0,0,0,0,1,0,0
5.54,17,21,4.304722222,1,7,1.286958766279252,0,0,0,0,0,1,0,0,0,1,0,0
6.73,16,21,5.694999999249999,2,7,1.1817383671442152,0,0,0,0,0,1,0,0,0,1,0,0
6.62,17,22,4.476111111,4,7,1.4789623929869422,0,0,0,1,0,0,0,0,0,1,0,0
6.46,17,21,4.751388889,5,7,1.3596024553905968,0,0,0,0,0,0,0,0,0,1,0,0
8.41,18,21,3.080277778,2,7,2.7302732435581007,1,0,0,0,0,0,1,0,0,1,0,0
7.84,15,21,5.694999999249999,3,7,1.3766461810417008,0,0,0,0,1,0,0,0,0,1,0,0
5.88,17,22,4.701111111,5,7,1.2507681399492026,0,0,0,1,0,0,0,0,0,1,0,0
4.57,20,22,1.624166667,3,7,2.8137506407770654,1,0,0,0,0,0,1,0,0,1,0,0
6.5,19,22,2.371666667,5,7,2.7406886854897134,0,0,0,0,1,0,1,0,0,1,0,0
5.86,19,21,2.741111111,6,7,2.137819213706438,0,0,0,0,0,1,1,0,0,1,0,0
5.5,18,21,3.410277778,0,7,1.6127718496953476,0,0,0,1,0,0,1,0,0,1,0,0
5.8,13,16,2.7825,4,8,2.0844564240790655,1,0,0,0,0,0,0,0,0,0,0,0
7.16,16,19,2.897222222,4,8,2.471332694341042,1,0,0,0,0,0,0,0,0,1,0,0
1.39,20,21,1.059722222,4,8,1.3116644825817383,1,0,0,0,0,0,1,0,0,1,0,0
8.23,17,21,4.961111111,6,8,1.6589025756250595,0,0,0,0,1,0,0,0,0,1,0,0
4.67,13,16,2.707777778,0,8,1.7246614688777462,0,0,0,0,0,1,0,0,0,0,0,0
2.16,18,21,2.993055556,0,8,0.7216705335355292,0,0,0,0,0,1,1,0,0,1,0,0
5.02,16,19,2.743888889,1,8,1.829520145704413,0,0,0,1,0,0,0,0,0,1,0,0
0.629999999999999,19,22,2.7125,1,8,0.23225806451612868,0,0,0,1,0,0,1,0,0,1,0,0
5.29,13,16,3.136388889,2,8,1.6866530864693419,0,0,0,0,0,0,0,0,0,0,0,0
3.09,18,20,1.789722222,2,8,1.7265249109702343,0,0,0,0,0,0,1,0,0,1,0,0
